"blueprint","item_name","item_key","category","process","tier","craftTimeSec","slot","resource","scu","minQuality","quantityMultiplier","modifierCount","optional"
"BP_CRAFT_AMRS_LaserCannon_S1","Omnisky III Cannon","amrs_lasercannon_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Frame","Agricium","0.36","1",,"1","False"
"BP_CRAFT_AMRS_LaserCannon_S2","Omnisky VI Cannon","amrs_lasercannon_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Frame","Agricium","0.64","1",,"1","False"
"BP_CRAFT_AMRS_LaserCannon_S3","Omnisky IX Cannon","amrs_lasercannon_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Frame","Agricium","1.16","1",,"1","False"
"BP_CRAFT_AMRS_LaserCannon_S4","Omnisky XII Cannon","amrs_lasercannon_s4","VehicleWeaponsS4","CraftingProcess_Creation","0","2940","Frame","Agricium","2.08","1",,"1","False"
"BP_CRAFT_AMRS_LaserCannon_S5","Omnisky XV Cannon","amrs_lasercannon_s5","VehicleWeaponsS5","CraftingProcess_Creation","0","5160","Frame","Agricium","3.74","1",,"1","False"
"BP_CRAFT_AMRS_LaserCannon_S6","Omnisky XVIII Cannon","amrs_lasercannon_s6","VehicleWeaponsS6","CraftingProcess_Creation","0","9060","Frame","Agricium","6.74","1",,"1","False"
"BP_CRAFT_AMRS_ScatterGun_S3","PyroBurst Scattergun","amrs_scattergun_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Electronics","Gold","0.41","1",,"1","False"
"BP_CRAFT_AMRS_ScatterGun_S3","PyroBurst Scattergun","amrs_scattergun_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Frame","Titanium","1.16","1",,"1","False"
"BP_CRAFT_AMRS_ScatterGun_S3","PyroBurst Scattergun","amrs_scattergun_s3","VehicleWeaponsS3","CraftingProcess_Creation","0","1680","Torque Junction","Savrilium","0.47","1",,"1","False"
"BP_CRAFT_APAR_BallisticGatling_S4","Revenant Gatling","apar_ballisticgatling_s4","VehicleWeaponsS4","CraftingProcess_Creation","0","2940","Barrels","Tungsten","1.25","1",,"1","False"
"BP_CRAFT_APAR_BallisticGatling_S4","Revenant Gatling","apar_ballisticgatling_s4","VehicleWeaponsS4","CraftingProcess_Creation","0","2940","Drive Motor","Ouratite","0.21","1",,"1","False"
"BP_CRAFT_APAR_BallisticGatling_S4","Revenant Gatling","apar_ballisticgatling_s4","VehicleWeaponsS4","CraftingProcess_Creation","0","2940","Frame","Iron","2.08","1",,"1","False"
"BP_CRAFT_APAR_BallisticGatling_S6","Draugar Gatling","apar_ballisticgatling_s6","VehicleWeaponsS6","CraftingProcess_Creation","0","9060","Barrels","Tungsten","4","1",,"1","False"
"BP_CRAFT_APAR_BallisticGatling_S6","Draugar Gatling","apar_ballisticgatling_s6","VehicleWeaponsS6","CraftingProcess_Creation","0","9060","Drive Motor","Ouratite","0.67","1",,"1","False"
"BP_CRAFT_APAR_BallisticGatling_S6","Draugar Gatling","apar_ballisticgatling_s6","VehicleWeaponsS6","CraftingProcess_Creation","0","9060","Frame","Iron","6.74","1",,"1","False"
"BP_CRAFT_APAR_BallisticScatterGun_S1","Havoc Scattergun","apar_ballisticscattergun_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Anchor Pins","Stileron","0.05","1",,"1","False"
"BP_CRAFT_APAR_BallisticScatterGun_S1","Havoc Scattergun","apar_ballisticscattergun_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Barrel","Titanium","0.18","1",,"1","False"
"BP_CRAFT_APAR_BallisticScatterGun_S1","Havoc Scattergun","apar_ballisticscattergun_s1","VehicleWeaponsS1","CraftingProcess_Creation","0","540","Frame","Torite","0.36","1",,"1","False"
"BP_CRAFT_APAR_BallisticScatterGun_S2","Hellion Scattergun","apar_ballisticscattergun_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Anchor Pins","Stileron","0.1","1",,"1","False"
"BP_CRAFT_APAR_BallisticScatterGun_S2","Hellion Scattergun","apar_ballisticscattergun_s2","VehicleWeaponsS2","CraftingProcess_Creation","0","960","Barrel","Titanium","0.32","1",,"1","False"
