"ship","ship_name","is_variant","qdSize","fuelCapacitySCU","defaultQD","qd","qd_name","qd_fuelReq","maxRange_Gm","maxRange_km","isDefault"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_ACAS_S01_LightFire_SCItem","LightFire","0.0049","224.49","224490000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_JUST_S01_Colossus_SCItem","Colossus","0.005488","200.44","200440000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_JUST_S01_Goliath_SCItem","Goliath","0.0058","189.66","189660000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_ACAS_S01_FoxFire_SCItem","FoxFire","0.00588","187.07","187070000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_JUST_S01_Vulcan_SCItem","Vulcan","0.006076","181.04","181040000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_RSI_S01_Atlas_SCItem","Atlas","0.007546","145.77","145770000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_RSI_S01_Hyperion_SCItem","Hyperion","0.008232","133.62","133620000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_TARS_S01_Voyage_SCItem","Voyage","0.009114","120.69","120690000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_RSI_S01_Eos_SCItem","Eos","0.009114","120.69","120690000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_TARS_S01_Expedition_SCItem","Expedition","0.0098","112.24","112240000","True"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_ARCC_S01_Flood_SCItem","Flood","0.010094","108.98","108980000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_TARS_S01_Wayfare_SCItem","Wayfare","0.010094","108.98","108980000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_ARCC_S01_Rush_SCItem","Rush","0.010682","102.98","102980000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_ARCC_S01_Burst_SCItem","Burst","0.011368","96.76","96760000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_RACO_S01_Drift_SCItem","Drift","0.01666","66.03","66030000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_RACO_S01_Zephyr_SCItem","Zephyr","0.01764","62.36","62360000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_RACO_S01_Spectre_SCItem","Spectre","0.01862","59.08","59080000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_WETK_S01_Beacon_SCItem","Beacon","0.01862","59.08","59080000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_WETK_S01_Siren_SCItem","Siren","0.02058","53.45","53450000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_WETK_S01_VK00_SCItem","VK-00","0.02156","51.02","51020000","False"
"aegs_avenger_stalker","Aegis Avenger Stalker","False","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_S01_Template","","1","1.1","1100000","False"
"aegs_avenger_stalker_pu_ai_advocacy","Aegis Avenger Stalker","True","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_ACAS_S01_LightFire_SCItem","LightFire","0.0049","224.49","224490000","False"
"aegs_avenger_stalker_pu_ai_advocacy","Aegis Avenger Stalker","True","1","1.1","QDRV_TARS_S01_Expedition_SCItem","QDRV_JUST_S01_Colossus_SCItem","Colossus","0.005488","200.44","200440000","False"
